Pillar,Mean,Median,Min,Max,Range,SD_population
P1 Strategy,1.5333333333333332,1.75,0.1,2.1,2.0,0.6847546194724712
P2 Governance,1.4833333333333332,1.6,0.6,2.0,1.4,0.45246239868327426
P3 Infrastructure,0.9833333333333335,1.1,0.2,1.6,1.4000000000000001,0.5335936864527373
P4 Human Capital,0.9166666666666666,1.1,0.0,1.6,1.6,0.5580223014261069
P5 Innovation,0.8333333333333334,1.0,0.0,1.5,1.5,0.521749194749951
P6 Ethics,1.15,1.45,0.3,1.6,1.3,0.505799696849784
P7 Regional,1.3333333333333333,1.35,0.2,2.1,1.9000000000000001,0.5934831271588286
P8 Implementation,0.5666666666666667,0.75,0.0,1.0,1.0,0.37712361663282534
