,P1 Strategy,P2 Governance,P3 Infrastructure,P4 Human Capital,P5 Innovation,P6 Ethics,P7 Regional,P8 Implementation
P1 Strategy,1.0,0.11595420713048969,0.6377481392176932,0.8235294117647058,0.898645105261295,0.5147058823529411,0.3188740696088466,0.9558823529411765
P2 Governance,0.11595420713048969,1.0,0.37142857142857144,0.5217939320872036,0.37142857142857144,0.6087595874350709,0.9428571428571428,0.2608969660436018
P3 Infrastructure,0.6377481392176932,0.37142857142857144,1.0,0.46381682852195877,0.6,0.8116794499134278,0.5428571428571428,0.6377481392176932
P4 Human Capital,0.8235294117647058,0.5217939320872036,0.46381682852195877,1.0,0.898645105261295,0.6029411764705882,0.6667366910003157,0.8676470588235294
P5 Innovation,0.898645105261295,0.37142857142857144,0.6,0.898645105261295,1.0,0.46381682852195877,0.6,0.9856107606091623
P6 Ethics,0.5147058823529411,0.6087595874350709,0.8116794499134278,0.6029411764705882,0.46381682852195877,1.0,0.6667366910003157,0.47058823529411764
P7 Regional,0.3188740696088466,0.9428571428571428,0.5428571428571428,0.6667366910003157,0.6,0.6667366910003157,1.0,0.49280538030458115
P8 Implementation,0.9558823529411765,0.2608969660436018,0.6377481392176932,0.8676470588235294,0.9856107606091623,0.47058823529411764,0.49280538030458115,1.0
